31
bike,pza_195,black,talha,2010,1,1,10,9,
bike,qyb_284,white,hussain,2004,1,0,10,9,
bike,rxc_376,gray,samir,2001,1,0,10,9,
bike,swd_463,silver,talal,2003,1,0,10,9,
bike,tve_552,red,rayan,2005,1,0,10,9,
bike,vuf_641,blue,hassan,2002,1,0,10,9,
bike,utg_730,brown,omar,2019,1,0,10,9,
bike,wsh_821,green,tabish,2008,1,0,10,9,
car,xri_912,beige,khalil,2022,4,0,500,10,
car,yqj_543,orange,hadi,2007,4,0,500,10,
car,zpk_951,gold,haris,2018,4,0,500,10,
car,aol_842,yellow,faiz,2006,4,0,500,10,
car,bnm_736,purple,danish,2017,4,0,500,10,
car,cmn_634,black,hammad,2000,4,0,500,10,
car,dlo_525,white,junaid,2005,4,0,500,10,
car,ekp_461,silver,kamal,2016,4,0,500,10,
car,fjq_703,gray,karim,1999,4,0,500,10,
car,gir_218,red,abbas,2021,4,0,500,10,
rickshaw,hhs_192,maroon,adeel,2015,3,0,300,7,
rickshaw,igt_435,black,arsal,2005,3,0,300,7,
rickshaw,jfu_915,purple,jibran,2020,3,0,300,7,
rickshaw,kev_523,yellow,haider,1014,3,0,300,7,
rickshaw,ldw_308,gold,jamal,1998,3,0,300,7,
rickshaw,mcx_417,orange,arham,2023,3,0,300,7,
rickshaw,nby_549,beige,hamza,1987,3,0,300,7,
bus,oaz_658,gray,aamir,2009,8,0,200,3,
bus,hym_767,green,adnan,2003,8,0,200,3,
bus,ntp_876,brown,ahmad,2021,8,1,200,3,
coach,fls_985,blue,nazir,2011,10,0,200,2,
coach,stb_194,red,ali,2020,10,0,200,2,
bike,abc_123,black,umair,2000,2,1,10,9,
